speaker,vowel,F1,F2
mas0M0kui0Tang2,a,526.6931199090209,1497.7208473005785
mas0M0kui0Tang2,i,380.1056529906892,2354.6673219764043
mas0M0kui0Tang2,a,686.9336344960132,1396.8795086849748
mas0M0kui0Tang2,ā,715.1713692556996,1540.6969163955648
mas0M0kui0Tang2,i,312.7239103526048,2432.192976223572
mas0M0kui0Tang2,i,299.22104611238666,2401.255156837093
mas0M0kui0Tang2,a,495.81428048578266,1866.5493816780106
mas0M0kui0Tang2,i,332.68673512752525,2352.001836386136
mas0M0kui0Tang2,i,327.74732638638767,2113.9060982910537
mas0M0kui0Tang2,i,305.04959820808085,2392.686664538792
mas0M0kui0Tang2,a,666.4205491803193,1380.8186123826347
mas0M0kui0Tang2,a,525.0845936663426,1166.5993402041142
mas0M0kui0Tang2,a,544.2249376684865,1683.4607023875826
mas0M0kui0Tang2,a,550.4059245701203,1219.9063018735164
mas0M0kui0Tang2,a,510.1457682159091,1508.8204846743083
mas0M0kui0Tang2,ā,697.4208116890509,1307.0551864084212
mas0M0kui0Tang2,a,686.7792311851255,1224.093185464345
the0M0kui0Tang2,ā,889.1757772429357,1290.560082471389
the0M0kui0Tang2,o,366.9466166266365,809.9533577266604
the0M0kui0Tang2,a,320.49635172844967,1456.7748569969801
the0M0kui0Tang2,i,276.87907647903006,2267.851881296554
the0M0kui0Tang2,a,422.3532084654674,1270.080526715887
the0M0kui0Tang2,a,450.12618058344117,1393.6767738806277
the0M0kui0Tang2,i,415.2802590583806,2029.2388340132165
the0M0kui0Tang2,i,279.9097850410466,2071.057095536537
the0M0kui0Tang2,a,334.19429082261433,1156.85810040077
the0M0kui0Tang2,a,321.1543570508293,1297.7527812134886
the0M0kui0Tang2,a,319.65301957988765,1545.224629349694
the0M0kui0Tang2,a,374.444301784123,1193.3472131777476
the0M0kui0Tang2,i,337.84860899512915,2250.357787708287
the0M0kui0Tang2,ā,598.7121130604615,1274.8868157064408
the0M0kui0Tang2,a,312.825288515754,1253.6696201250613
the0M0kui0Tang2,u,394.86217309313815,1233.2096010662215
the0M0kui0Tang2,u,378.6745628557682,1211.0027257133959
the0M0kui0Tang2,a,442.48356232533376,1291.1488463273874
the0M0kui0Tang2,a,325.2361270490747,1557.292293138354
the0M0kui0Tang2,o,414.66566082922196,1168.0954744609205
the0M0kui0Tang2,a,260.71033254814756,1033.5919905558846
the0M0kui0Tang2,a,245.88194401303733,1260.6585289105826
the0M0kui0Tang2,a,323.42883369831327,1295.3737521527946
the0M0kui0Tang2,ā,634.4490713736318,1410.7715126400362
the0M0kui0Tang2,a,324.304329655958,1299.036058990224
the0M0kui0Tang2,a,516.6515996976957,1325.4432190393154
the0M0kui0Tang2,ā,488.85459233561886,1091.4907613448331
the0M0kui0Tang2,o,321.3629900735482,874.1637339882625
the0M0kui0Tang2,i,207.97947438603953,2421.7313701386593
the0M0kui0Tang2,a,885.7620799380959,2062.361531701426
the0M0kui0Tang2,i,280.9341346074754,2331.0507144776593
the0M0kui0Tang2,a,217.9614932178032,1540.545907114218
the0M0kui0Tang2,i,911.5142808694436,2058.1441827306935
the0M0kui0Tang2,i,315.3938578260152,2289.2156317241293
the0M0kui0Tang2,i,307.7375117012007,2015.3623490211312
the0M0kui0Tang2,ā,631.7167000710419,1291.0369351320408
the0M0kui0Tang2,a,479.5567241303149,1279.9028642054536
the0M0kui0Tang2,a,240.38497500434053,873.4014992763899
the0M0kui0Tang2,a,384.7023732959138,1320.5879659696775
the0M0kui0Tang2,a,458.70367316127385,1361.9467213296105
the0M0kui0Tang2,a,480.7419159804823,1461.69316293159
the0M0kui0Tang2,a,380.56408062177127,2356.4979199316044
the0M0kui0Tang2,a,201.72740339465003,1128.636654263231
the0M0kui0Tang2,ā,558.0734571706855,1823.189789328387
the0M0kui0Tang2,a,611.1728347692087,1168.8830923328237
the0M0kui0Tang2,a,302.3774528577334,1201.8076970290736
the0M0kui0Tang2,a,279.1314783452205,1380.9212702855118
the0M0kui0Tang2,a,376.5213886590713,1398.2198390445244
the0M0kui0Tang2,a,513.9418333323304,1186.8613077006135
the0M0kui0Tang2,ā,638.0464768033579,1468.1361695743426
the0M0kui0Tang2,i,310.72041602765415,2169.085506250377
the0M0kui0Tang2,a,248.74302497716707,1312.464720546897
the0M0kui0Tang2,ā,622.113422345437,1266.890995952153
the0M0kui0Tang2,a,636.7465151923828,1431.3179347018433
the0M0kui0Tang2,ā,700.372037943539,1722.959497839626
the0M0kui0Tang2,i,239.48458935025602,2467.6625123570343
the0M0kui0Tang2,a,582.7923017291616,1220.6183714447661
the0M0kui0Tang2,ā,423.4543227845243,916.0487130263592
the0M0kui0Tang2,a,292.3044544274058,1711.9249827565059
the0M0kui0Tang2,o,383.32878109984296,1094.5274971685112
the0M0kui0Tang2,i,315.68936175666084,2082.1229731810167
the0M0kui0Tang2,ā,396.6229201534932,1163.4569739209596
the0M0kui0Tang2,a,1111.2619715548176,2412.8607585664495
the0M0kui0Tang2,a,454.33435296623577,1426.8682717746362
the0M0kui0Tang2,a,955.6339227249862,1540.8890663605878
the0M0kui0Tang2,a,455.9544646468322,1401.9974770014323
the0M0kui0Tang2,ā,443.1979430964374,1494.3159820436767
the0M0kui0Tang2,i,371.1463281486061,2142.1909997865678
the0M0kui0Tang2,a,556.9356278923107,1304.8382095694726
the0M0kui0Tang2,a,305.03366133770265,901.6040369658878
the0M0kui0Tang2,a,669.6707823136325,1238.1565841978722
the0M0kui0Tang2,a,531.9472545259839,1244.5833768390653
the0M0kui0Tang2,ā,587.6625415387174,1266.0602740055213
the0M0kui0Tang2,a,463.8231021751069,1278.1632936897945
the0M0kui0Tang2,a,367.9546172267599,1159.9853960669661
the0M0kui0Tang2,a,316.8602142702745,2271.158613566848
the0M0kui0Tang2,ā,552.8766775403038,1265.4305449180463
the0M0kui0Tang2,a,237.3745995853435,1079.5125532566394
the0M0kui0Tang2,o,421.62426576310133,1030.143469137001
the0M0kui0Tang2,a,422.30998203275243,1051.8492111544235
the0M0kui0Tang2,i,328.93448806269504,2184.7376820077775
the0M0kui0Tang2,a,524.3962901705503,1321.4890361873308
the0M0kui0Tang2,ā,409.7245952205226,1103.9620303001923
the0M0kui0Tang2,o,376.0825247881038,918.5551004404981
the0M0kui0Tang2,i,302.65366903241755,2138.1204440121555
the0M0kui0Tang2,a,309.71025425231977,1509.330719548758
the0M0kui0Tang2,i,253.61653560764796,1019.7112791195887
the0M0kui0Tang2,a,616.5322582054683,1298.9688633880949
the0M0kui0Tang2,ā,526.0368306038512,887.6690789408225
the0M0kui0Tang2,i,282.1804787192438,2231.1132877045184
the0M0kui0Tang2,a,255.82483604271832,1011.3823160385942
the0M0kui0Tang2,a,335.7844313554004,1250.3068343875946
the0M0kui0Tang2,o,296.4901013018784,898.3604891565946
the0M0kui0Tang2,a,384.39014198538024,1094.0776162616287
the0M0kui0Tang2,o,397.76830615972074,1007.5373356697781
the0M0kui0Tang2,a,380.39080092890043,1046.013377507109
the0M0kui0Tang2,u,241.75593983285583,707.8893090028423
the0M0kui0Tang2,a,514.342079214104,1057.733627154817
the0M0kui0Tang2,a,542.5117894053597,1065.1658712681995
the0M0kui0Tang2,a,561.8149610043175,1260.62652689017
the0M0kui0Tang2,a,267.72982092144224,972.1852885928117
the0M0kui0Tang2,a,415.3199846052832,1179.880902581504
the0M0kui0Tang2,a,327.10875839984226,1436.4467351953788
the0M0kui0Tang2,a,597.0973944206884,1237.4636418497332
the0M0kui0Tang2,a,522.9108237182381,1293.4245028888133
the0M0kui0Tang2,i,283.5284371793794,2216.8160369190005
the0M0kui0Tang2,ā,574.4807295222084,1408.5761179518138
the0M0kui0Tang2,i,281.3993552984117,2015.7775046002384
the0M0kui0Tang2,a,575.0008464782222,1227.6368333334558
the0M0kui0Tang2,ā,513.5835005813002,868.3247186757615
the0M0kui0Tang2,i,264.5708895953331,2401.5070994602893
the0M0kui0Tang2,a,280.75714881820795,1818.947411074602
the0M0kui0Tang2,o,309.42734762290956,1288.8253504248573
the0M0kui0Tang2,i,305.140213876459,2305.7797889835474
the0M0kui0Tang2,a,374.7190841832887,1602.0779422877204
the0M0kui0Tang2,i,884.638233415933,2308.820904464522
the0M0kui0Tang2,a,550.1855476055573,1353.7946708686334
the0M0kui0Tang2,a,335.2467425200458,1258.3819551422969
the0M0kui0Tang2,ā,580.5445477051605,1213.164837306658
the0M0kui0Tang2,a,670.2085552154017,1315.6498972659028
the0M0kui0Tang2,ā,794.9281711333111,1238.9877518451206
the0M0kui0Tang2,a,413.7233859184895,1313.913482567689
the0M0kui0Tang2,a,424.4651748890086,1385.250188630329
the0M0kui0Tang2,u,942.5019193593655,1998.8329761975892
the0M0kui0Tang2,a,473.5143522532762,1359.7969048950338
the0M0kui0Tang2,a,550.8425878353247,1234.850028393278
the0M0kui0Tang2,a,416.826304660856,1543.6998587509795
the0M0kui0Tang2,a,605.3311227565043,1429.7048071278132
the0M0kui0Tang2,a,387.85303190554447,1140.9011159721565
the0M0kui0Tang2,i,357.23475308858787,2140.866778887292
the0M0kui0Tang2,a,481.27550834220324,1332.2009766651624
the0M0kui0Tang2,i,248.449534510942,1083.5242367447436
the0M0kui0Tang2,i,319.5498695874897,2213.137982716756
the0M0kui0Tang2,a,599.0889919275223,1287.014747148555
the0M0kui0Tang2,ā,656.1319002460319,1035.6316895947662
the0M0kui0Tang2,i,299.8847574318788,2320.2313878897567
the0M0kui0Tang2,u,261.6695245829976,1131.0298256858136
the0M0kui0Tang2,u,361.6986041420979,1259.1719471551205
the0M0kui0Tang2,a,788.6370868550803,1541.6327424690608
the0M0kui0Tang2,i,224.67372066328275,1294.3531050855543
the0M0kui0Tang2,ā,545.4990457292929,1038.7013899476913
the0M0kui0Tang2,ā,535.9005246486946,1179.1069727222955
the0M0kui0Tang2,ā,364.3275220571842,1829.4463177347377
the0M0kui0Tang2,a,461.4731415494688,1282.820101448744
the0M0kui0Tang2,i,330.55033059657467,2012.427070328172
the0M0kui0Tang2,a,472.26990559612676,1218.5879108127733
the0M0kui0Tang2,a,639.2605772777661,1350.5610636023728
the0M0kui0Tang2,ā,449.75303941634513,1392.5728448362847
the0M0kui0Tang2,i,240.09623209598251,2118.537310411616
the0M0kui0Tang2,a,439.1349965930924,1224.581553816181
the0M0kui0Tang2,a,524.6766487681844,1267.5163425502517
the0M0kui0Tang2,ā,267.25703801381763,1110.0079020694855
the0M0kui0Tang2,a,492.1078068110659,1375.1201687692435
the0M0kui0Tang2,ā,584.5829366361187,1022.2004897655617
the0M0kui0Tang2,i,264.97723945083345,2389.5277839927626
the0M0kui0Tang2,a,313.48665846837605,1345.8462474552289
the0M0kui0Tang2,o,423.98908769319786,1059.7590128337954
the0M0kui0Tang2,i,299.01349667431873,2218.847050358939
the0M0kui0Tang2,ā,781.01832769471,1404.7828006051195
the0M0kui0Tang2,a,534.8051998997345,1105.226766975673
the0M0kui0Tang2,a,424.4935239458076,1412.0196259031904
the0M0kui0Tang2,a,426.39295353679796,1364.01580430778
the0M0kui0Tang2,ā,472.4522110307575,1279.8824544881445
the0M0kui0Tang2,a,520.4943207204952,1222.4499048663486
the0M0kui0Tang2,ā,532.8295810154235,1278.466626730099
the0M0kui0Tang2,o,359.1578387621685,658.742302601589
the0M0kui0Tang2,i,304.3851551187469,2226.16568989173
the0M0kui0Tang2,a,218.38796578575705,1659.3989574526393
the0M0kui0Tang2,i,333.80965411666057,2336.7487753289174
the0M0kui0Tang2,a,508.8909165440802,1267.2646662997897
the0M0kui0Tang2,i,347.39519912052646,2345.348171439553
the0M0kui0Tang2,i,329.26284076824646,2441.7929823568975
the0M0kui0Tang2,a,291.67494038345336,2115.3136915073633
the0M0kui0Tang2,i,304.65696117064226,2035.1746488316799
the0M0kui0Tang2,i,312.5323713085402,2120.8043265758606
the0M0kui0Tang2,i,261.91089778016374,1253.0464999360868
the0M0kui0Tang2,a,464.6509674449246,1276.4073513544688
the0M0kui0Tang2,a,268.8259193180706,973.5160333853313
the0M0kui0Tang2,a,435.7130939610452,1505.046937186362
the0M0kui0Tang2,a,442.5597212108104,1177.91249280637
the0M0kui0Tang2,a,330.69001501403557,2262.9489475390665
the0M0kui0Tang2,ā,727.7933380041894,1279.312934788846
the0M0kui0Tang2,a,490.8670476727823,1016.0180775520314
wun0F0kui0Tang2,ā,899.3404721573999,1404.065903318405
wun0F0kui0Tang2,o,488.53175664258345,1006.4484754489627
wun0F0kui0Tang2,i,310.1680994216093,820.7945472318825
wun0F0kui0Tang2,a,679.2340591003417,1450.9794826095194
wun0F0kui0Tang2,i,252.03269233894744,1002.0875316121972
wun0F0kui0Tang2,a,406.17312784498876,1193.0490052535256
wun0F0kui0Tang2,a,800.4783320425634,1395.9915252860749
wun0F0kui0Tang2,i,1068.0007301460723,2160.43887579575
wun0F0kui0Tang2,i,329.9294236964444,1952.4788359142394
wun0F0kui0Tang2,a,861.5608577142995,1207.1298564486124
wun0F0kui0Tang2,a,353.1801631088839,1176.3815062693234
wun0F0kui0Tang2,a,586.6456021810014,1276.876960688515
wun0F0kui0Tang2,a,803.0515072116413,1300.2949479403826
