speaker,vowel,F1,F2,F1_lob,F2_lob
mas0M0kui0Tang2,a,540.1714347567912,1406.3045705131117,0.3805191705853011,-0.25715427091386456
mas0M0kui0Tang2,ā,668.5445284416111,1272.8672567017188,1.3791908771414776,-0.5607364142992703
mas0M0kui0Tang2,a,683.1910958385544,1274.708316968186,1.4931330751335874,-0.5565478331158557
mas0M0kui0Tang2,ā,554.4356277019541,956.4757471103438,0.491486706712203,-1.2805561550237945
mas0M0kui0Tang2,i,359.9616428040544,2344.2624751037124,-1.0214133941111176,1.8767861011425966
mas0M0kui0Tang2,a,375.2534863689705,1886.4746204866537,-0.9024513042291106,0.8352766900876852
mas0M0kui0Tang2,o,473.4740328582257,1042.4326788105282,-0.13834974707466222,-1.0849962413907992
mas0M0kui0Tang2,i,392.60934151265036,2178.404528264541,-0.7674323452123883,1.4994440402097178
mas0M0kui0Tang2,ā,656.8187004659258,1249.922181769813,1.2879704173151165,-0.6129385669730898
mas0M0kui0Tang2,a,635.1800361244547,1244.830596957562,1.1196335701986198,-0.6245223900161447
mas0M0kui0Tang2,i,348.2048182379397,2121.2336489201866,-1.112874990276668,1.3693750393070203
mas0M0kui0Tang2,a,351.3733955192277,1322.5834621853426,-1.0882252105601478,-0.44762748104360756
mas0M0kui0Tang2,a,504.40519324207673,1445.061963184602,0.10227758252872222,-0.16897764322881084
mas0M0kui0Tang2,ā,607.0110184215315,1401.6872303124824,0.9004941837906097,-0.2676591439123419
mas0M0kui0Tang2,a,701.4368428734177,1213.3798522146542,1.6350749011476629,-0.6960757226440384
mas0M0kui0Tang2,ā,644.8992156283284,1209.3194338590147,1.1952434141530712,-0.705313547299208
mas0M0kui0Tang2,o,440.50643264178893,912.6572031791658,-0.39481945286865705,-1.3802473666248993
mas0M0kui0Tang2,i,367.16869169869767,2258.8298597882685,-0.9653465376363618,1.6824190554364586
mas0M0kui0Tang2,a,526.6931199090209,1497.7208473005785,0.27566533163699247,-0.04917384583816737
mas0M0kui0Tang2,i,380.1056529906892,2354.6673219764043,-0.8647041301016112,1.9004580833264815
mas0M0kui0Tang2,a,686.9336344960132,1396.8795086849748,1.5222479570813052,-0.27859715214100056
mas0M0kui0Tang2,ā,715.1713692556996,1540.6969163955648,1.741921924205394,0.048600658140354025
mas0M0kui0Tang2,i,312.7239103526048,2432.192976223572,-1.3888968404239157,2.0768360664517798
mas0M0kui0Tang2,i,299.22104611238666,2401.255156837093,-1.4939416600750104,2.006449686115219
mas0M0kui0Tang2,a,495.81428048578266,1866.5493816780106,0.03544503018510011,0.7899449419265686
mas0M0kui0Tang2,i,332.68673512752525,2352.001836386136,-1.2335970987615457,1.8943938588187823
mas0M0kui0Tang2,i,327.74732638638767,2113.9060982910537,-1.272022968352267,1.35270418868647
mas0M0kui0Tang2,i,305.04959820808085,2392.686664538792,-1.4485987466881158,1.9869555792331184
mas0M0kui0Tang2,a,666.4205491803193,1380.8186123826347,1.3626674925857387,-0.31513716621117926
mas0M0kui0Tang2,a,525.0845936663426,1166.5993402041142,0.26315188663301126,-0.8025056836435522
mas0M0kui0Tang2,a,544.2249376684865,1683.4607023875826,0.41205318253559414,0.37340138225064196
mas0M0kui0Tang2,a,550.4059245701203,1219.9063018735164,0.4601378438931471,-0.6812274503014548
mas0M0kui0Tang2,a,510.1457682159091,1508.8204846743083,0.14693608253968474,-0.02392115145704027
mas0M0kui0Tang2,ā,697.4208116890509,1307.0551864084212,1.6038323985222958,-0.4829557345042598
mas0M0kui0Tang2,a,686.7792311851255,1224.093185464345,1.5210467846739413,-0.6717019056220596
the0M0kui0Tang2,ā,889.1757772429357,1290.560082471389,2.750512402895408,-0.39672939159904663
the0M0kui0Tang2,o,366.9466166266365,809.9533577266604,-0.41084208666082084,-1.4735056205145756
the0M0kui0Tang2,a,320.49635172844967,1456.7748569969801,-0.6920323467061652,-0.02433319136116398
the0M0kui0Tang2,i,276.87907647903006,2267.851881296554,-0.9560728854789033,1.7928458338578397
the0M0kui0Tang2,a,422.3532084654674,1270.080526715887,-0.07543401091494374,-0.4426128503209104
the0M0kui0Tang2,a,450.12618058344117,1393.6767738806277,0.09269181719825575,-0.1657014088489901
the0M0kui0Tang2,i,415.2802590583806,2029.2388340132165,-0.11825065550083796,1.258244788980111
the0M0kui0Tang2,i,279.9097850410466,2071.057095536537,-0.9377262575200961,1.3519365906643281
the0M0kui0Tang2,a,334.19429082261433,1156.85810040077,-0.6091108162387727,-0.6962822456066559
the0M0kui0Tang2,a,321.1543570508293,1297.7527812134886,-0.6880490607525395,-0.3806144963458496
the0M0kui0Tang2,a,319.65301957988765,1545.224629349694,-0.6971375228914577,0.17383426535301053
the0M0kui0Tang2,a,374.444301784123,1193.3472131777476,-0.36545427146121273,-0.6145301451271288
the0M0kui0Tang2,i,337.84860899512915,2250.357787708287,-0.5869891194202476,1.7536511593924031
the0M0kui0Tang2,ā,598.7121130604615,1274.8868157064408,0.9921682159630824,-0.43184459122700025
the0M0kui0Tang2,a,312.825288515754,1253.6696201250613,-0.73846971933106,-0.4793806964665088
the0M0kui0Tang2,u,394.86217309313815,1233.2096010662215,-0.24185311320003666,-0.525220384160057
the0M0kui0Tang2,u,378.6745628557682,1211.0027257133959,-0.339846059895512,-0.5749738192812851
the0M0kui0Tang2,a,442.48356232533376,1291.1488463273874,0.04642663829917043,-0.3954102945245717
the0M0kui0Tang2,a,325.2361270490747,1557.292293138354,-0.6633397513488655,0.20087128509732544
